;red;green;blue;x;x
1;204;229;152;Novo-Arkhangelsk;x
2;204;179;153;Redut Sent-Dionisiya;x
3;153;230;153;Pavlovskaya Gavan;x
4;192;0;0;Fort Nikolaevskaia;x
5;192;0;128;Redut Sent-Maykl;x
6;153;179;153;Klondike River;x
7;192;128;128;Pelly River;x
8;179;204;153;Kuala Kelantan;x
9;128;64;128;Fort Mistassini;x
10;64;128;128;San Khew Jong;x
11;119;210;74;Fort Resolution;x
12;119;128;199;Liwa;x
13;96;64;192;Fort Langley;x
14;201;169;171;Vancouver Island;x
15;224;64;192;Fort McLaughlin;x
16;224;192;192;Fort St. James;x
17;0;64;128;Teslin Post;x
18;153;230;204;Fort St. John;x
19;192;160;0;Fort George;x
20;179;217;153;Fort Thompson;x
21;179;166;153;Kootenay House;x
22;192;160;128;Fort Assiniboine;x
23;192;64;0;Fort McMurray;x
24;63;85;151;Milk River;x
25;128;160;128;Old Bow River Fort;x
26;0;224;0;Rocky Mountain House;x
27;81;141;79;Fort Vermilion;x
28;122;120;79;Fort Simpson;x
29;128;224;0;Kyzylkum;x
30;128;32;64;Burning Hills;x
31;192;96;0;Fort Fond du Lac;x
32;192;96;128;Cumberland House;x
33;128;96;128;Cartlon House;x
34;192;224;128;Fort Qu’Apelle;x
35;128;224;128;Fort Pitt;x
36;74;142;210;Buffalo Point;x
37;128;32;192;Fort Alexander;x
38;64;224;0;Fuerte Santa Maria;x
39;192;224;0;Santo Tomás;x
40;122;143;170;Cedar Lake House;x
41;0;160;64;Fort Ellice;x
42;128;160;64;Selkirk Settlement;x
43;192;64;128;Clarksville;x
44;70;70;122;Guantanámo;x
45;0;0;192;Marigot;x
46;48;128;64;Toronto;x
47;64;96;0;Fort Severn;x
48;192;160;192;Fort Albany;x
49;130;123;117;Fort William;x
50;64;32;192;Nipigon House;x
51;48;128;192;Sault Ste. Marie;x
52;176;128;192;Orillia;x
53;176;0;64;Barrie;x
54;0;96;64;Windsor;x
55;176;128;64;Hamilton;x
56;116;74;122;Kingston;x
57;176;0;192;Bytown;x
58;208;64;192;Montreal;x
59;176;210;74;York Factory;x
60;128;224;64;Richmond;x
61;128;224;192;Tadoussac;x
62;192;96;64;Seven Islands;x
63;48;0;192;Fort Lake St. John;x
64;240;192;128;Three Rivers;x
65;176;192;192;Quebec City;x
66;152;117;121;Sherbrooke;x
67;240;64;192;Rimouski;x
68;240;192;64;Fredericton;x
69;112;64;192;Little Falls;x
70;112;192;64;Prince Edward Island;x
71;240;64;64;Halifax;x
72;128;96;192;Truro;x
73;192;96;192;Cape Breton Island;x
74;209;215;159;St. John’s;x
75;16;160;0;Little Macatina;x
76;0;96;192;North West River;x
77;74;146;55;Saint-Pierre-et-Miquelon;x
78;0;160;0;Fort Nisqually;x
79;32;192;192;Fort Vancouver;x
80;160;64;192;Fort Nez Percés;x
81;128;160;0;Fort Astoria;x
82;160;192;192;Klamath;x
83;224;224;224;Fort Umpqua;x
84;16;128;128;Wiyot;x
85;16;128;0;Cabo Mednocino;x
86;144;128;0;Sierra Nevada;x
87;144;128;128;Monterey;x
88;134;75;69;Desierto de Mojave;x
89;208;0;0;Los Angeles;x
90;80;128;0;San Diego;x
91;115;85;191;Fort Hall;x
92;64;32;128;Fort Boisé;x
93;208;0;128;Western Bannock;x
94;109;100;92;Washo;x
95;16;192;0;Isogwiyuyugi;x
96;204;24;24;Las Vegas;x
97;144;64;0;Timpanogos;x
98;86;118;81;Barbones;x
99;208;128;128;Yutas Occidentales;x
100;16;64;128;Gileños;x
101;144;192;0;Gran Cañón;x
102;208;128;0;Presidio de Tucsón;x
103;80;64;128;Fuerte Talpa;x
104;192;48;128;Presidio de San Francisco;x
105;64;176;128;Santa Fe;x
106;208;64;0;Bent’s Fort;x
107;80;192;0;Shoshónes Occidentales;x
108;208;192;0;Yutas Orientales;x
109;144;64;64;Zuñi;x
110;16;192;128;Shoshónes Río Viento;x
111;134;115;72;Fort Bonneville;x
112;144;192;128;Fort Laramie;x
113;80;128;128;Eastern Bannock;x
114;192;32;128;Flathead House;x
115;0;96;128;Blackfoot;x
116;144;64;128;Crow;x
117;208;0;192;Fort Mandan;x
118;0;32;192;Fort Pembina;x
119;80;128;192;Fort Union;x
120;132;75;214;Sieche Hollow;x
121;208;128;192;Hunkpapa;x
122;94;120;119;Fort Pierre Chouteau;x
123;16;192;64;Fontenelle’s Post;x
124;208;128;64;Ponca Fort;x
125;144;192;64;Pawnee;x
126;144;64;192;Fort Leavenworth;x
127;16;64;192;Kansa;x
128;16;192;192;Osage;x
129;144;192;192;Kiowa;x
130;122;112;123;Fort Gibson;x
131;192;48;64;Cross Timbers;x
132;128;48;64;Houston;x
133;0;176;64;San Filepe de Austin;x
134;128;176;192;Fort Parker;x
135;0;176;192;Pueblos;x
136;208;128;112;Comanchería;x
137;128;176;64;San Antonio de Bexár;x
138;0;48;192;Laredo;x
139;76;108;123;New Orleans;x
140;79;163;196;Baton Rouge;x
141;192;240;128;St. Landry;x
142;192;112;128;Shreveport;x
143;192;240;0;Little Rock;x
144;64;112;128;Arkansas Post;x
145;64;240;0;Hot Springs;x
146;208;0;64;St. Louis;x
147;208;64;128;Springfield;x
148;80;192;128;Cape Girardeau;x
149;80;128;64;Jefferson City;x
150;132;72;126;Columbia;x
151;144;128;192;Council Bluffs;x
152;16;128;192;Iowa City;x
153;144;0;192;Dubuque;x
154;74;95;122;Yankton;x
155;90;74;121;Pig’s Eye;x
156;16;0;192;Fort Snelling;x
157;0;160;192;Fort Skene;x
158;208;192;128;Grand Portage;x
159;208;192;64;Milwaukee;x
160;208;64;64;Ojibwe;x
161;128;160;192;Fort Howard;x
162;144;0;64;Madison;x
163;16;128;64;Chicago;x
164;80;192;64;Galena;x
165;128;96;0;Urbana;x
166;64;160;128;Peoria;x
167;144;128;64;Vandalia;x
168;0;160;128;Shawneetown;x
169;240;64;128;Indianapolis;x
170;112;128;64;Evansville;x
171;153;119;165;South Bend;x
172;192;32;0;Fort Wayne;x
173;112;192;0;Detroit;x
174;148;215;186;Lansing;x
175;64;224;128;Saginaw;x
176;240;192;0;Grand Traverse;x
177;112;0;64;Fort Mackinac;x
178;0;0;144;Cleveland;x
179;112;64;0;Columbus;x
180;208;192;192;Toledo;x
181;240;64;0;Dayton;x
182;176;192;128;Cincinnati;x
183;108;210;165;Marietta;x
184;240;0;64;Louisville;x
185;176;64;128;Barbourville;x
186;43;191;151;Lexington;x
187;192;112;0;Paducah;x
188;94;107;77;Nashville;x
189;128;112;128;Memphis;x
190;0;240;192;Knoxville;x
191;163;206;188;Chattanooga;x
192;0;240;128;Jackson;x
193;128;240;128;Greenville;x
194;64;112;0;Biloxi;x
195;32;176;0;Tuscaloosa;x
196;0;240;0;Huntsville;x
197;128;112;0;Mobile;x
198;160;48;0;Tallahassee;x
199;192;240;64;St. Augustine;x
200;64;112;192;Fort Dallas;x
201;64;112;64;New Echota;x
202;192;112;64;Milledgeville;x
203;22;158;45;Bermuda;x
204;64;240;64;Savannah;x
205;226;240;64;Charleston;x
206;0;112;192;Columbia;x
207;0;112;64;Greenville;x
208;165;153;119;Raleigh;x
209;128;112;192;Charlotte;x
210;0;240;64;Wilmington;x
211;192;176;192;Lynchburg;x
212;240;0;128;Alexandria;x
213;48;64;128;Fredericksburg;x
214;64;176;192;Norfolk;x
215;176;192;0;Staunton;x
216;192;112;192;Abingdon;x
217;176;64;0;Charleston;x
218;48;192;0;Wheeling;x
219;240;128;0;Baltimore;x
220;112;0;128;Annapolis;x
221;112;128;128;Hagerstown;x
222;112;128;0;Dover;x
223;176;0;0;Philadelphia;x
224;48;128;128;Wilkes-Barre;x
225;240;128;128;Williamsport;x
226;192;192;128;Harrisburg;x
227;108;73;77;Pittsburgh;x
228;96;109;79;Erie;x
229;161;75;78;Newark;x
230;74;74;176;Trenton;x
231;240;0;0;Camden;x
232;176;128;128;New York City;x
233;55;126;85;Long Island;x
234;176;128;0;Albany;x
235;48;0;128;Binghamton;x
236;112;192;128;Buffalo;x
237;48;128;0;Rochester;x
238;176;0;128;Syracuse;x
239;237;199;218;Indian Stream;x
240;66;212;150;Plattsburgh;x
241;48;64;192;Hartford;x
242;147;154;206;Providence;x
243;165;142;210;Boston;x
244;210;142;210;New Bedford;x
245;176;64;192;Worchester;x
246;176;192;64;Burlington;x
247;48;192;64;Concord;x
248;176;64;64;Portland;x
249;110;117;123;Bangor;x
250;240;128;192;Madawaska;x
251;192;128;64;Godthåb;x
252;128;64;64;Iceland;x
253;139;119;144;Faroe Islands;x
254;104;142;121;Belfast;x
255;160;96;64;Londonderry;x
256;32;224;64;Armagh;x
257;160;192;224;Donegal;x
258;32;224;192;Galway;x
259;160;96;192;Sligo;x
260;224;96;64;Cork;x
261;160;224;192;Limerick;x
262;150;146;121;Waterford;x
263;160;224;64;Dublin;x
264;32;96;192;Kildare;x
265;96;224;64;Wexford;x
266;160;224;0;Aberdeen;x
267;32;224;0;Inverness;x
268;32;96;128;Dundee;x
269;160;224;128;Edinburgh;x
270;160;96;128;Stirling;x
271;32;224;128;Glasgow;x
272;54;56;131;Dumfries;x
273;32;32;192;Cardiff;x
274;160;160;64;Cardigan;x
275;32;160;64;Llandrindod;x
276;160;32;64;Holyhead;x
277;96;224;0;Liverpool;x
278;224;224;0;Manchester;x
279;224;96;0;Carlisle;x
280;96;96;0;Newcastle-upon-Tyne;x
281;224;96;128;Hull;x
282;96;96;128;Leeds;x
283;134;176;33;Sheffield;x
284;32;160;192;Birmingham;x
285;101;97;124;Chester;x
286;160;33;176;Shrewsbury;x
287;96;32;192;Coventry;x
288;224;224;128;Nottingham;x
289;160;160;192;Leicester;x
290;96;224;128;Lincoln;x
291;140;102;123;Cambridge;x
292;224;32;64;Ipswich;x
293;96;160;64;Chelmsford;x
294;96;224;192;Oxford;x
295;224;160;64;St Albans;x
296;224;32;192;Bristol;x
297;96;96;192;Salisbury;x
298;224;224;64;Bath;x
299;96;160;192;Plymouth;x
300;224;224;192;London;x
301;98;89;147;Canterbury;x
302;128;0;32;Brighton;x
303;224;96;192;Southampton;x
304;19;114;99;Isle of Man;x
305;192;64;192;Trondhjem;x
306;192;192;192;Bodr;x
307;97;128;128;Hammerfest;x
308;64;64;192;Llesund;x
309;224;128;32;Bergen;x
310;251;103;124;Christianssand;x
311;96;1;32;Skien;x
312;96;128;32;Drammen;x
313;192;65;224;Christiania;x
314;32;128;160;Hamar;x
315;96;0;160;Lillehammer;x
316;149;161;84;Frederiksstad;x
317;97;192;97;Gävle;x
318;224;128;1;Sundsvall;x
319;65;192;192;Östersund;x
320;97;1;128;Umel;x
321;223;0;128;Lulel;x
322;96;64;96;Stockholm;x
323;160;1;160;Falun;x
324;196;128;165;Uppsala;x
325;192;192;224;Norrköping;x
326;1;1;160;Västerls;x
327;248;228;0;Örebro;x
328;160;128;33;Karlstad;x
329;65;192;224;Göteborg;x
330;160;1;32;Borls;x
331;33;192;224;Gotland;x
332;64;64;223;Kalmar;x
333;65;192;97;Växjö;x
334;192;65;97;Malmö;x
335;192;192;97;Karlskrona;x
336;101;124;82;Ulelborg;x
337;160;192;0;Kajana;x
338;224;128;128;Tornel;x
339;32;128;1;Viborg;x
340;74;100;99;Kotka;x
341;64;192;64;S:t Michel;x
342;160;65;128;Kuopio;x
343;224;192;224;Helsingfors;x
344;97;192;224;Tavastehus;x
345;224;65;224;Lbo;x
346;33;65;128;Vasa;x
347;121;211;121;Alacahisar;x
348;224;65;97;Landskapet Lland;x
349;128;160;33;Reval;x
350;1;160;33;Narwa;x
351;1;33;160;Pernau;x
352;191;96;96;Dorpat;x
353;96;64;224;Ösel;x
354;0;160;160;Riga;x
355;128;33;160;Wolmar;x
356;191;32;96;Daugavpils;x
357;1;224;33;Mitau;x
358;128;97;33;Windawa;x
359;74;142;93;Libau;x
360;65;224;97;Vilna;x
361;1;97;160;Kovno;x
362;0;224;160;Mariyampole;x
363;168;255;81;Ponevezh;x
364;192;160;160;Shavli;x
365;128;96;160;Telshi;x
366;128;65;224;Arhus;x
367;0;191;223;Alborg;x
368;148;70;143;Vamdrup;x
369;128;65;96;Kiel;x
370;0;192;96;Flensborg;x
371;128;192;97;Aabenraa;x
372;128;192;224;Krbenhavn;x
373;116;112;139;Odense;x
374;144;0;224;Bornholm;x
375;119;119;50;Amsterdam;x
376;128;192;160;Rotterdam;x
377;192;64;33;Utrecht;x
378;1;192;160;Middelburg;x
379;192;192;160;Eindhoven;x
380;76;72;148;Breda;x
381;0;0;223;Limburg;x
382;65;192;160;Arnhem;x
383;192;192;33;Groningen;x
384;192;65;160;Zwolle;x
385;65;192;33;Leeuwarden;x
386;65;65;160;Assen;x
387;1;128;97;Bruxelles;x
388;1;65;160;Bruges;x
389;128;65;160;Gand;x
390;128;0;96;Anvers;x
391;128;128;97;Hasselt;x
392;145;101;116;Namur;x
393;128;128;160;Tournai;x
394;176;160;192;Charleroi;x
395;239;32;64;Licge;x
396;72;111;106;Eupen-Malmedy;x
397;81;128;160;Luxembourg;x
398;208;1;160;Bastogne;x
399;160;160;128;Lille;x
400;224;160;192;Dunkerque;x
401;16;96;0;Arras;x
402;16;160;192;Amiens;x
403;112;64;160;Saint-Quentin;x
404;112;192;32;Cambrai;x
405;239;191;32;Charleville;x
406;239;0;223;Troyes;x
407;112;0;96;Chaumont;x
408;239;64;160;Reims;x
409;110;72;145;Strasbourg;x
410;176;0;224;Colmar;x
411;176;128;224;Nancy;x
412;240;192;160;Metz;x
413;112;191;160;Verdun;x
414;48;128;224;Épinal;x
415;144;32;192;Le Havre;x
416;176;96;128;Évreux;x
417;16;32;192;Alençon;x
418;144;160;64;Caen;x
419;183;142;84;Channel Islands;x
420;208;224;128;Brest;x
421;85;96;126;Saint-Brieuc;x
422;144;32;64;Vannes;x
423;112;96;0;Nantes;x
424;16;160;64;Rennes;x
425;144;96;0;Paris;x
426;144;160;192;Chartres;x
427;112;128;223;Melun;x
428;240;128;96;Dijon;x
429;112;0;224;Auxerre;x
430;240;128;224;Nevers;x
431;109;120;150;Mâcon;x
432;240;0;96;Besançon;x
433;112;128;96;Belfort;x
434;80;160;64;Angers;x
435;48;224;128;Versailles;x
436;176;224;128;Le Mans;x
437;63;116;175;La Roche;x
438;16;223;0;Orleans;x
439;144;224;0;Bourges;x
440;136;98;119;Blois;x
441;208;32;64;Tours;x
442;208;160;64;La Rochelle;x
443;208;32;192;Poitiers;x
444;80;32;192;Angouleme;x
445;48;96;0;Limoges;x
446;80;160;192;Châteauroux;x
447;176;96;0;Périgueux;x
448;112;192;96;Clermont-Ferrand;x
449;240;192;96;Aurillac;x
450;48;224;0;Cahors;x
451;176;64;96;Lyon;x
452;239;64;96;Saint-Étienne;x
453;112;64;96;Valence;x
454;48;192;96;Grenoble;x
455;48;96;128;Toulouse;x
456;176;224;0;Montauban;x
457;16;96;64;Tarbes;x
458;240;160;128;Bordeaux;x
459;112;160;128;Mont-de-Marsan;x
460;240;32;128;Pau;x
461;144;96;128;Montpellier;x
462;16;96;128;Rodez;x
463;207;159;191;Narbonne;x
464;16;96;192;Perpignan;x
465;107;75;164;Enncsia;x
466;208;0;224;Sciambere;x
467;49;192;223;Marseilles;x
468;176;192;224;Nîmes;x
469;176;64;224;Digne;x
470;48;64;224;Toulon;x
471;176;192;96;Fréjus;x
472;80;128;224;Nizza;x
473;239;64;32;Corsica;x
474;208;224;64;La Coruna;x
475;80;96;192;Oviedo;x
476;80;224;64;Pontevedra;x
477;208;96;192;León;x
478;240;160;0;Santander;x
479;112;160;0;Burgos;x
480;80;224;192;Valladolid;x
481;240;32;0;Soria;x
482;176;32;0;Salamanca;x
483;112;32;0;Avila;x
484;0;144;32;Badajoz;x
485;80;96;0;Almendralejo;x
486;48;160;0;Caceres;x
487;48;32;128;Madrid;x
488;176;160;128;Guadalajara;x
489;176;160;0;Toledo;x
490;176;32;128;Cuenca;x
491;128;16;160;Ciudad Real;x
492;112;32;128;Bilbao;x
493;16;224;192;Pamplona;x
494;158;201;184;Logrono;x
495;80;96;64;Zaragoza;x
496;144;96;192;Huesca;x
497;48;160;128;Teruel;x
498;224;192;32;Barcelona;x
499;17;224;65;Gerona;x
500;144;96;64;Lerida;x
501;177;233;121;Tarragona;x
502;96;240;128;Balearic Islands;x
503;143;223;128;Valencia;x
504;208;96;64;Castellón;x
505;223;239;128;Alicante;x
506;113;21;139;Cartagena;x
507;98;104;120;Murcia;x
508;160;48;64;Albacete;x
509;128;16;32;Sevilla;x
510;128;144;32;Cordoba;x
511;208;96;0;Huelva;x
512;78;84;100;Cadiz;x
513;160;176;64;Granada;x
514;32;48;192;Malaga;x
515;32;176;64;Almeria;x
516;0;16;160;Jaén;x
517;188;110;211;Gibraltar;x
518;208;160;0;Oporto;x
519;208;224;192;Vila Real;x
520;48;32;163;Covilha;x
521;208;160;128;Lisboa;x
522;80;160;0;Coimbra;x
523;208;32;0;Abrantes;x
524;84;81;100;Setúbal;x
525;235;169;53;Evora;x
526;160;112;128;Beja;x
527;32;112;128;Faro;x
528;88;114;151;Hamburg;x
529;224;0;160;Lauenborg;x
530;96;128;159;Lübeck;x
531;65;128;97;Stade;x
532;192;128;224;Lüneburg;x
533;104;190;102;Heligoland;x
534;105;75;145;Hannover;x
535;191;0;223;Nienburg;x
536;33;128;224;Braunschweig;x
537;160;1;224;Göttingen;x
538;77;98;160;Osnabrück;x
539;192;128;97;Bremen;x
540;192;1;97;Oldenburg;x
541;65;1;224;Cloppenburg;x
542;128;128;224;Lingen;x
543;120;75;142;Emden;x
544;224;128;160;Schwerin;x
545;224;65;160;Neustrelitz;x
546;25;174;25;Stettin;x
547;160;65;33;Greifswald;x
548;86;116;82;Stralsund;x
549;131;177;168;Berlin;x
550;160;64;160;Prenzlau;x
551;97;192;160;Pritzwalk;x
552;223;64;32;Cottbus;x
553;160;128;224;Magdeburg;x
554;97;128;97;Erfurt;x
555;138;68;140;Dessau;x
556;207;93;142;Halle;x
557;224;192;160;Stendal;x
558;121;83;104;Dresden;x
559;175;223;191;Leipzig;x
560;49;224;192;Chemnitz;x
561;81;192;33;Weimar;x
562;208;192;33;Gotha;x
563;81;65;160;Meiningen;x
564;17;192;160;Frankfurt;x
565;144;192;160;Wiesbaden;x
566;192;128;32;Cassel;x
567;139;124;103;Gießen;x
568;208;65;33;Fulda;x
569;49;128;97;Mannheim;x
570;144;192;32;Mainz;x
571;17;192;33;Kaiserlautern;x
572;208;128;160;Trier;x
573;144;64;32;Saarbrücken;x
574;93;122;104;Coblenz;x
575;81;128;33;Cöln;x
576;131;75;102;Aachen;x
577;128;1;224;Cleve;x
578;33;1;224;Düsseldorf;x
579;81;1;160;Neuwied;x
580;160;128;97;Dortmund;x
581;1;128;224;Münster;x
582;33;128;97;Minden;x
583;65;128;33;Siegen;x
584;65;1;160;Corbach;x
585;159;0;96;Detmold;x
586;176;1;96;Karlsruhe;x
587;176;128;97;Freiburg;x
588;174;186;42;Constanz;x
589;17;128;96;Stuttgart;x
590;16;0;96;Heilbronn;x
591;143;0;96;Tübingen;x
592;112;74;95;Augsburg;x
593;219;184;76;Ulm;x
594;144;128;96;Sigmaringen;x
595;208;192;160;Nürnberg;x
596;144;64;160;Aschaffenburg;x
597;81;192;160;Würzburg;x
598;208;65;160;Bayreuth;x
599;176;1;33;München;x
600;176;128;33;Landshut;x
601;49;128;33;Ingolstadt;x
602;49;1;160;Regensburg;x
603;126;75;134;Zürich;x
604;144;128;224;Basel;x
605;80;128;96;Bern;x
606;208;1;97;Luzern;x
607;208;128;96;Genève;x
608;17;127;224;Neuchâtel;x
609;144;65;224;Sion;x
610;166;238;251;Ponape;x
611;144;192;224;Chur;x
612;81;192;224;Innsbruck;x
613;240;97;192;Salzburg;x
614;208;192;224;Bregenz;x
615;240;224;192;Lienz;x
616;176;97;65;Gratz;x
617;17;1;160;Judenburg;x
618;143;128;32;Klagenfurt;x
619;49;97;65;Wien;x
620;17;128;160;Sankt Pölten;x
621;169;121;59;Krems;x
622;144;1;160;Linz;x
623;240;224;1;Ödenburg;x
624;48;160;32;Eisenstadt;x
625;113;224;65;Prag;x
626;144;128;160;Königgrätz;x
627;113;97;65;Karlsbad;x
628;29;107;148;Aussig;x
629;240;97;65;Pilsen;x
630;240;224;65;Budweis;x
631;239;96;128;Brünn;x
632;113;224;128;Olmütz;x
633;81;97;97;Preßburg;x
634;144;224;224;Trentschin;x
635;208;97;97;Neutra;x
636;81;48;106;Neusohl;x
637;81;224;97;Kaschau;x
638;32;192;0;Eperies;x
639;113;97;128;Egersee;x
640;207;32;32;Fünfkirchen;x
641;81;224;224;Pest;x
642;113;95;93;Raab;x
643;207;223;223;Stuhlweißenburg;x
644;176;33;33;Ruppertsburg;x
645;132;97;101;Ketschkemet;x
646;208;97;224;Mischkolz;x
647;81;97;160;Großwardein;x
648;16;159;159;Debrezin;x
649;144;160;160;Szegedin;x
650;80;96;223;Tschabe;x
651;144;33;160;Sathmar;x
652;144;224;33;Temeschburg;x
653;17;97;160;Reschitz;x
654;208;224;160;Klausenburg;x
655;208;97;160;Karlsburg;x
656;208;224;33;Diemrich;x
657;81;224;160;Hermannstadt;x
658;96;144;192;Hawai´i;x
659;48;96;96;Kronstadt;x
660;175;96;159;Oderhellen;x
661;176;97;97;Bistritz;x
662;49;160;160;Czernowitz;x
663;0;167;244;Sotschen;x
664;176;224;32;Bucharest;x
665;224;33;33;Tirgu Jiu;x
666;81;224;33;Craiova;x
667;224;163;33;Tirgoviste;x
668;49;224;33;Braila;x
669;33;100;224;Calarasi;x
670;176;160;224;Iasi;x
671;239;32;96;Botosani;x
672;48;224;160;Bacau;x
673;244;0;69;Kagul;x
674;176;97;33;Köstence;x
675;217;224;33;Tolçu;x
676;113;33;97;Kishinyov;x
677;138;202;155;Belgorod;x
678;176;224;160;Izmail;x
679;160;192;32;Kolberg;x
680;128;1;160;Köslin;x
681;96;191;32;Küstrin;x
682;110;97;127;Breslau;x
683;192;1;33;Waldenburg;x
684;175;159;32;Oppeln;x
685;94;144;145;Kattowitz;x
686;177;200;76;Merv;x
687;97;65;33;Görlitz;x
688;240;224;128;Troppau;x
689;16;223;223;Teschen;x
690;128;160;160;Danzig;x
691;148;80;0;Tuchel;x
692;1;128;160;Deutsch Krone;x
693;122;96;97;Elbing;x
694;65;160;33;Thorn;x
695;65;33;160;Königsberg;x
696;191;159;32;Allenstein;x
697;192;32;160;Heilsberg;x
698;64;160;160;Memel;x
699;33;65;160;Posen;x
700;192;33;33;Bromberg;x
701;65;224;160;Gnesen;x
702;17;160;33;Lemberg;x
703;144;96;96;Kraków;x
704;17;97;224;Neu Sandez;x
705;144;224;96;Premissel;x
706;65;97;160;Varšava;x
707;128;159;96;Suwalki;x
708;128;33;97;Plotsk;x
709;0;159;96;Lomzha;x
710;87;126;228;Skierniewice;x
711;64;223;32;Sedlets;x
